열기,Loona,111,27169,253411,3.5,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
forever,Charli XCX,110,124108,1310120,4.05,bubblegum bass,"Cambridge, Cambridgeshire, England, United Kingdom",28,solo,1050461,65619389
In the Frozen,Dreamcatcher,110,15575,213629,3.2666666666666666,k-pop,"Seoul, Korea, Republic of",4,band,121882,11246773
Panorama,IZ*ONE,110,21118,550788,0,k-pop,"Seoul, Korea, Republic of",2,band,102936,11987904
Deja Vu,Dreamcatcher,109,34429,562177,3.7333333333333334,pops in seoul,"Seoul, Korea, Republic of",4,band,121882,11246773
PIRI,Dreamcatcher,108,39965,578850,3.4333333333333336,rock,"Seoul, Korea, Republic of",4,band,121882,11246773
LOVE FOOLISH,TWICE,108,49724,872466,3.183333333333333,dance,"Seoul, Korea, Republic of",5,band,267391,49043896
pink diamond,Charli XCX,107,106743,900007,2.066666666666667,experimental,"Cambridge, Cambridgeshire, England, United Kingdom",28,solo,1050461,65619389
Black or White,Dreamcatcher,107,19553,242052,3.4,k-pop,"Seoul, Korea, Republic of",4,band,121882,11246773
Heart Attack (Chuu),Loona,107,1366,16374,0,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
Pretty Savage,BLACKPINK,106,121872,2510179,0,k-pop,"Seoul, Korea, Republic of",4,band,443371,59627899
Sorry Bro (I Love You),Dorian Electra,106,32419,223592,2.3166666666666664,electropop,"Houston, Harris County, Texas, United States",28,solo,105885,4207773
Can't get you out of my mind,Dreamcatcher,106,16670,240762,3.75,k-pop,"Seoul, Korea, Republic of",4,band,121882,11246773
DDU-DU DDU-DU,BLACKPINK,104,184618,4023810,3.5166666666666666,kpop,"Seoul, Korea, Republic of",4,band,443371,59627899
Satellite,Loona,104,29020,284457,3.15,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
HELL IN HEAVEN,TWICE,104,45182,408019,0,k-pop,"Seoul, Korea, Republic of",5,band,267391,49043896
No Time To Die,Billie Eilish,103,237640,1836167,4.033333333333333,james bond,"Los Angeles, Los Angeles County, California, United States",19,solo,1023808,82087931
Feel Special,TWICE,103,121173,3050877,3.45,kpop,"Seoul, Korea, Republic of",5,band,267391,49043896
Love Cherry Motion,Loona,101,32172,324365,3.6833333333333336,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
Super Bass,Nicki Minaj,101,610009,5234084,3.3333333333333335,nicki minaj,"Port of Spain, Trinidad, Trinidad and Tobago",38,solo,2327646,89606844
Violeta,IZ*ONE,99,45370,1012436,3.35,akb48,"Seoul, Korea, Republic of",2,band,102936,11987904
Devil,CLC,97,43361,763595,2.95,korean,"Seoul, Korea, Republic of",5,band,119178,7763360
LA DI DA,Everglow,97,72471,1552922,0,k-pop,"Seoul, Korea, Republic of",2,band,140037,7579596
Dumhdurum,Apink,96,38363,403262,0,kpop,"Seoul, Korea, Republic of",9,band,95122,6445430
Stylish,Loona,95,30137,290745,3.4833333333333334,kpop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
Perfect Love,Loona,94,22502,174959,3.7,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
Back Door,Stray Kids,92,55035,961508,0,k-pop,"Seoul, Korea, Republic of",3,band,148884,23457226
Hobgoblin,CLC,91,50835,657431,3.5,k-pop,"Seoul, Korea, Republic of",5,band,119178,7763360
Not Shy,ITZY,91,81912,1685235,2.95,itzayyyy,"Seoul, Korea, Republic of",1,band,159995,12527679
New,Loona,91,32106,356514,3.066666666666667,loona,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
The Cut That Always Bleeds,Conan Gray,90,42319,351847,3.85,indie,"San Diego, Duval County, Texas, United States",22,solo,384849,13703771
Egoist (Olivia Hye) [feat. 진솔],Loona,89,89,446,0,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
Peek-A-Boo,Red Velvet,89,46493,334450,3.15,k-pop,0,0,0,263515,42577088
Red Sun,Dreamcatcher,88,23338,300059,3.0833333333333335,rock,"Seoul, Korea, Republic of",4,band,121882,11246773
SAHARA,Dreamcatcher,87,17099,208837,3.1666666666666665,side track,"Seoul, Korea, Republic of",4,band,121882,11246773
favOriTe,Loona,87,34121,349058,3.2333333333333334,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
listen before i go,Billie Eilish,85,233295,1945127,4.05,ambient pop,"Los Angeles, Los Angeles County, California, United States",19,solo,1023808,82087931
Helicopter,CLC,85,38733,588294,0,k-pop,"Seoul, Korea, Republic of",5,band,119178,7763360
gogobebe,MAMAMOO,85,69249,870245,3.25,k-pop,"Seoul, Korea, Republic of",6,band,180285,12251755
Ding Ding Dong,Loona,83,28222,355715,2.966666666666667,k-pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
BRING IT BACK,TWICE,83,35387,276805,0,k-pop,"Seoul, Korea, Republic of",5,band,267391,49043896
Break The Wall,Dreamcatcher,82,14713,198539,3.8,rock,"Seoul, Korea, Republic of",4,band,121882,11246773
Labyrinth,GFRIEND,82,14020,119816,0,rock,0,5,band,80815,7951663
LALALAY 날라리,Sunmi,81,54746,728861,2.9,k-pop,"Iksan, Jeollabuk-do, Korea, Republic of",28,solo,162636,7739455
i finally understand,Charli XCX,80,91195,766967,2.5166666666666666,pop,"Cambridge, Cambridgeshire, England, United Kingdom",28,solo,1050461,65619389
NOBODY LIKE YOU,ITZY,80,27689,303697,3.283333333333333,girl group,"Seoul, Korea, Republic of",1,band,159995,12527679
Hello,Weeekly,80,8513,101211,3.45,k-pop,"Seoul, Korea, Republic of",1,band,21517,889195
PICKY PICKY,Weki Meki,80,33901,496285,3.2666666666666666,liked,"Seoul, Korea, Republic of",3,band,73653,3117682
YOU MAKE ME,ITZY,79,23180,218622,3.05,best of 2020,"Seoul, Korea, Republic of",1,band,159995,12527679
Stay Tonight,CHUNG HA,78,55907,871106,3.6166666666666667,electropop,"Seoul, Korea, Republic of",24,solo,141316,6885388
ICY,ITZY,78,79201,1688806,3.183333333333333,perfect,"Seoul, Korea, Republic of",1,band,159995,12527679
GO HARD,TWICE,77,33695,282711,0,k-pop,"Seoul, Korea, Republic of",5,band,267391,49043896
